127.0.0.1 - - [09/Nov/2022:21:56:00 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Nov/2022:21:56:02 +0900] "GET /solo1/index.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [09/Nov/2022:21:56:02 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:21:57:07 +0900] "GET /solo1/index.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [09/Nov/2022:21:57:07 +0900] "GET /solo1/login.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:07:44 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:07:44 +0900] "GET /solo1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:14:57 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:14:57 +0900] "GET /solo1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:15:04 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:19:24 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:19:24 +0900] "GET /solo1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:19:26 +0900] "GET /solo1/main.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:19:28 +0900] "GET /solo1/bbs.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:19:30 +0900] "GET /solo1/main.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:23:45 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:23:45 +0900] "GET /solo1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:24:11 +0900] "GET /solo1/bbs.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:24:30 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:27:38 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:27:38 +0900] "GET /solo1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:40:06 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:40:06 +0900] "GET /solo1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:40:06 +0900] "GET /solo1/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:49:56 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:49:56 +0900] "GET /solo1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:49:56 +0900] "GET /solo1/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:50:11 +0900] "GET /solo1/login.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [09/Nov/2022:22:50:13 +0900] "GET /solo1/join.jsp HTTP/1.1" 404 801
