time,지역,아황산가스,일산화탄소,오존,이산화질소,미세먼지(PM10),초미세먼지(PM2.5)
2024-03-29 23:00,정릉로,0.002,0.4,0.025,0.032,67,16
2024-03-29 23:00,도봉구,0.003,0.3,0.049,0.008,46,9
2024-03-29 23:00,은평구,0.003,0.4,0.034,0.020,58,15
2024-03-29 23:00,서대문구,0.003,0.3,0.035,0.023,56,18
2024-03-29 23:00,마포구,0.002,0.4,0.028,0.030,71,13
2024-03-29 23:00,신촌로,0.003,0.6,0.021,0.037,83,20
2024-03-29 23:00,강서구,0.003,0.4,0.028,0.025,64,16
2024-03-29 23:00,공항대로,0.003,0.5,0.018,0.035,69,13
2024-03-29 23:00,구로구,0.002,0.3,0.031,0.014,75,16
2024-03-29 23:00,영등포구,0.002,0.3,0.038,0.018,59,14
2024-03-29 23:00,영등포로,0.003,0.5,0.019,0.036,71,20
2024-03-29 23:00,동작구,0.002,0.4,0.028,0.028,76,18
2024-03-29 23:00,동작대로 중앙차로,0.002,0.5,0.025,0.038,78,18
2024-03-29 23:00,관악구,0.002,0.5,0.033,0.023,80,27
2024-03-29 23:00,강남구,0.002,0.3,0.040,0.019,67,17
2024-03-29 23:00,서초구,0.002,0.4,0.037,0.015,71,15
2024-03-29 23:00,도산대로,0.002,0.3,0.036,0.016,63,19
2024-03-29 23:00,강남대로,0.002,0.5,0.018,0.035,90,17
2024-03-29 23:00,송파구,0.002,0.3,0.032,0.022,78,18
2024-03-29 23:00,강동구,0.002,0.5,0.044,0.017,68,7
2024-03-29 23:00,천호대로,0.002,0.4,0.031,0.027,77,13
2024-03-29 23:00,금천구,0.003,0.4,0.029,0.025,74,14
2024-03-29 23:00,시흥대로,0.003,0.4,0.026,0.025,74,16
2024-03-29 23:00,강북구,0.003,0.3,0.041,0.011,51,11
2024-03-29 23:00,양천구,0.003,0.4,0.031,0.027,64,12
